30
1,Jan,Kucharski
2,Cezary,Bąk
3,Jakub,Krupa
4,Aleks,Krawczyk
5,Aureliusz,Kucharski
6,Leszek,Mazurek
7,Błażej,Makowski
8,Mariusz,Dąbrowski
9,Remigiusz,Brzeziński
10,Edward ,Tomaszewski 
11,Andrea,Jasińska
12,Maja,Kaźmierczak
13,Gabriela,Kubiak
14,Konstancja,Gajewska
15,Zuzanna,Wasilewska
16,Jolanta,Makowska
17,Agnieszka,Sawicka
18,Anastazja ,Jaworska
19,Leszek,Lis
20,Mikołaj,Sobczak
21,Piotr,Sikora
22,Alexander,Malinowski
23,Konrad,Witkowski
24,Jakub,Adamska
25,Eryk,Lewandowski
26,Filip,Sikora
27,Józef,Zawadzki 
28,Alojzy,Kamiński
29,Jerzy ,Sikora 
30,Florentyna,Czerwińska 
